trial	mean_acc	n_ok_folds	n_fail_folds	params_json
1	0.42727272727272736	5	0	{"model__hidden_units": 3, "model__activation_function": "sigmoid", "model__C": 0, "model__random_type": "normal", "model__treinador": "no_re"}
2	0.41818181818181815	5	0	{"model__hidden_units": 3, "model__activation_function": "sigmoid", "model__C": 0, "model__random_type": "uniform", "model__treinador": "no_re"}
3	0.42727272727272736	5	0	{"model__hidden_units": 3, "model__activation_function": "sigmoid", "model__C": 1, "model__random_type": "normal", "model__treinador": "no_re"}
4	0.41818181818181815	5	0	{"model__hidden_units": 3, "model__activation_function": "sigmoid", "model__C": 1, "model__random_type": "uniform", "model__treinador": "no_re"}
5	0.42727272727272736	5	0	{"model__hidden_units": 3, "model__activation_function": "sigmoid", "model__C": 2, "model__random_type": "normal", "model__treinador": "no_re"}
6	0.41818181818181815	5	0	{"model__hidden_units": 3, "model__activation_function": "sigmoid", "model__C": 2, "model__random_type": "uniform", "model__treinador": "no_re"}
7	0.42727272727272736	5	0	{"model__hidden_units": 3, "model__activation_function": "sigmoid", "model__C": 3, "model__random_type": "normal", "model__treinador": "no_re"}
8	0.41818181818181815	5	0	{"model__hidden_units": 3, "model__activation_function": "sigmoid", "model__C": 3, "model__random_type": "uniform", "model__treinador": "no_re"}
9	0.42727272727272736	5	0	{"model__hidden_units": 3, "model__activation_function": "sigmoid", "model__C": 4, "model__random_type": "normal", "model__treinador": "no_re"}
10	0.41818181818181815	5	0	{"model__hidden_units": 3, "model__activation_function": "sigmoid", "model__C": 4, "model__random_type": "uniform", "model__treinador": "no_re"}
11	0.42727272727272736	5	0	{"model__hidden_units": 3, "model__activation_function": "sigmoid", "model__C": 5, "model__random_type": "normal", "model__treinador": "no_re"}
12	0.41818181818181815	5	0	{"model__hidden_units": 3, "model__activation_function": "sigmoid", "model__C": 5, "model__random_type": "uniform", "model__treinador": "no_re"}
13	0.42727272727272736	5	0	{"model__hidden_units": 3, "model__activation_function": "sigmoid", "model__C": 6, "model__random_type": "normal", "model__treinador": "no_re"}
14	0.41818181818181815	5	0	{"model__hidden_units": 3, "model__activation_function": "sigmoid", "model__C": 6, "model__random_type": "uniform", "model__treinador": "no_re"}
15	0.42727272727272736	5	0	{"model__hidden_units": 3, "model__activation_function": "sigmoid", "model__C": 7, "model__random_type": "normal", "model__treinador": "no_re"}
16	0.41818181818181815	5	0	{"model__hidden_units": 3, "model__activation_function": "sigmoid", "model__C": 7, "model__random_type": "uniform", "model__treinador": "no_re"}
17	0.42727272727272736	5	0	{"model__hidden_units": 3, "model__activation_function": "sigmoid", "model__C": 8, "model__random_type": "normal", "model__treinador": "no_re"}
18	0.41818181818181815	5	0	{"model__hidden_units": 3, "model__activation_function": "sigmoid", "model__C": 8, "model__random_type": "uniform", "model__treinador": "no_re"}
19	0.42727272727272736	5	0	{"model__hidden_units": 3, "model__activation_function": "sigmoid", "model__C": 9, "model__random_type": "normal", "model__treinador": "no_re"}
20	0.41818181818181815	5	0	{"model__hidden_units": 3, "model__activation_function": "sigmoid", "model__C": 9, "model__random_type": "uniform", "model__treinador": "no_re"}
21	0.42727272727272736	5	0	{"model__hidden_units": 3, "model__activation_function": "sigmoid", "model__C": 10, "model__random_type": "normal", "model__treinador": "no_re"}
22	0.41818181818181815	5	0	{"model__hidden_units": 3, "model__activation_function": "sigmoid", "model__C": 10, "model__random_type": "uniform", "model__treinador": "no_re"}
23	0.42727272727272736	5	0	{"model__hidden_units": 3, "model__activation_function": "sigmoid", "model__C": 13, "model__random_type": "normal", "model__treinador": "no_re"}
24	0.41818181818181815	5	0	{"model__hidden_units": 3, "model__activation_function": "sigmoid", "model__C": 13, "model__random_type": "uniform", "model__treinador": "no_re"}
25	0.42727272727272736	5	0	{"model__hidden_units": 3, "model__activation_function": "sigmoid", "model__C": 17, "model__random_type": "normal", "model__treinador": "no_re"}
26	0.41818181818181815	5	0	{"model__hidden_units": 3, "model__activation_function": "sigmoid", "model__C": 17, "model__random_type": "uniform", "model__treinador": "no_re"}
27	0.42727272727272736	5	0	{"model__hidden_units": 3, "model__activation_function": "sigmoid", "model__C": 25, "model__random_type": "normal", "model__treinador": "no_re"}
28	0.41818181818181815	5	0	{"model__hidden_units": 3, "model__activation_function": "sigmoid", "model__C": 25, "model__random_type": "uniform", "model__treinador": "no_re"}
29	0.39090909090909093	5	0	{"model__hidden_units": 3, "model__activation_function": "relu", "model__C": 0, "model__random_type": "normal", "model__treinador": "no_re"}
30	0.40909090909090906	5	0	{"model__hidden_units": 3, "model__activation_function": "relu", "model__C": 0, "model__random_type": "uniform", "model__treinador": "no_re"}
31	0.39090909090909093	5	0	{"model__hidden_units": 3, "model__activation_function": "relu", "model__C": 1, "model__random_type": "normal", "model__treinador": "no_re"}
32	0.40909090909090906	5	0	{"model__hidden_units": 3, "model__activation_function": "relu", "model__C": 1, "model__random_type": "uniform", "model__treinador": "no_re"}
33	0.39090909090909093	5	0	{"model__hidden_units": 3, "model__activation_function": "relu", "model__C": 2, "model__random_type": "normal", "model__treinador": "no_re"}
34	0.40909090909090906	5	0	{"model__hidden_units": 3, "model__activation_function": "relu", "model__C": 2, "model__random_type": "uniform", "model__treinador": "no_re"}
35	0.39090909090909093	5	0	{"model__hidden_units": 3, "model__activation_function": "relu", "model__C": 3, "model__random_type": "normal", "model__treinador": "no_re"}
36	0.40909090909090906	5	0	{"model__hidden_units": 3, "model__activation_function": "relu", "model__C": 3, "model__random_type": "uniform", "model__treinador": "no_re"}
37	0.39090909090909093	5	0	{"model__hidden_units": 3, "model__activation_function": "relu", "model__C": 4, "model__random_type": "normal", "model__treinador": "no_re"}
38	0.40909090909090906	5	0	{"model__hidden_units": 3, "model__activation_function": "relu", "model__C": 4, "model__random_type": "uniform", "model__treinador": "no_re"}
39	0.39090909090909093	5	0	{"model__hidden_units": 3, "model__activation_function": "relu", "model__C": 5, "model__random_type": "normal", "model__treinador": "no_re"}
40	0.40909090909090906	5	0	{"model__hidden_units": 3, "model__activation_function": "relu", "model__C": 5, "model__random_type": "uniform", "model__treinador": "no_re"}
41	0.39090909090909093	5	0	{"model__hidden_units": 3, "model__activation_function": "relu", "model__C": 6, "model__random_type": "normal", "model__treinador": "no_re"}
42	0.40909090909090906	5	0	{"model__hidden_units": 3, "model__activation_function": "relu", "model__C": 6, "model__random_type": "uniform", "model__treinador": "no_re"}
43	0.39090909090909093	5	0	{"model__hidden_units": 3, "model__activation_function": "relu", "model__C": 7, "model__random_type": "normal", "model__treinador": "no_re"}
44	0.40909090909090906	5	0	{"model__hidden_units": 3, "model__activation_function": "relu", "model__C": 7, "model__random_type": "uniform", "model__treinador": "no_re"}
45	0.39090909090909093	5	0	{"model__hidden_units": 3, "model__activation_function": "relu", "model__C": 8, "model__random_type": "normal", "model__treinador": "no_re"}
46	0.40909090909090906	5	0	{"model__hidden_units": 3, "model__activation_function": "relu", "model__C": 8, "model__random_type": "uniform", "model__treinador": "no_re"}
47	0.39090909090909093	5	0	{"model__hidden_units": 3, "model__activation_function": "relu", "model__C": 9, "model__random_type": "normal", "model__treinador": "no_re"}
48	0.40909090909090906	5	0	{"model__hidden_units": 3, "model__activation_function": "relu", "model__C": 9, "model__random_type": "uniform", "model__treinador": "no_re"}
49	0.39090909090909093	5	0	{"model__hidden_units": 3, "model__activation_function": "relu", "model__C": 10, "model__random_type": "normal", "model__treinador": "no_re"}
