model,class_name,precision,recall,f1,support
RandomForest,Fluorita,0.6857142857142857,0.96,0.8,25
RandomForest,Mixed,0.0,0.0,0.0,11
RandomForest,Perovskita,0.8095238095238095,0.8095238095238095,0.8095238095238095,21
RandomForest,Pirocloro,0.6153846153846154,0.5,0.5517241379310345,16
RandomForest,RockSalt,0.8780487804878049,0.9473684210526315,0.9113924050632911,38
RandomForest,Spinel,0.88,0.8461538461538461,0.8627450980392157,26
GradientBoosting,Fluorita,0.75,0.84,0.7924528301886793,25
GradientBoosting,Mixed,0.1111111111111111,0.09090909090909091,0.1,11
GradientBoosting,Perovskita,0.7272727272727273,0.7619047619047619,0.7441860465116279,21
GradientBoosting,Pirocloro,0.6153846153846154,0.5,0.5517241379310345,16
GradientBoosting,RockSalt,0.9210526315789473,0.9210526315789473,0.9210526315789473,38
GradientBoosting,Spinel,0.8518518518518519,0.8846153846153846,0.8679245283018868,26
MLP,Fluorita,0.7931034482758621,0.92,0.8518518518518519,25
MLP,Mixed,0.25,0.09090909090909091,0.13333333333333333,11
MLP,Perovskita,0.7272727272727273,0.7619047619047619,0.7441860465116279,21
MLP,Pirocloro,0.5625,0.5625,0.5625,16
MLP,RockSalt,0.8809523809523809,0.9736842105263158,0.925,38
MLP,Spinel,0.9166666666666666,0.8461538461538461,0.88,26
ELM,Fluorita,0.7241379310344828,0.84,0.7777777777777778,25
ELM,Mixed,0.16666666666666666,0.09090909090909091,0.11764705882352941,11
ELM,Perovskita,0.6666666666666666,0.6666666666666666,0.6666666666666666,21
ELM,Pirocloro,0.5384615384615384,0.4375,0.4827586206896552,16
ELM,RockSalt,0.8372093023255814,0.9473684210526315,0.8888888888888888,38
ELM,Spinel,0.88,0.8461538461538461,0.8627450980392157,26
Ensemble,Fluorita,0.7666666666666667,0.92,0.8363636363636363,25
Ensemble,Mixed,0.16666666666666666,0.09090909090909091,0.11764705882352941,11
Ensemble,Perovskita,0.8,0.7619047619047619,0.7804878048780488,21
Ensemble,Pirocloro,0.6,0.5625,0.5806451612903226,16
Ensemble,RockSalt,0.9,0.9473684210526315,0.9230769230769231,38
Ensemble,Spinel,0.8846153846153846,0.8846153846153846,0.8846153846153846,26
