fold,model,accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,n_test
1,RandomForest,0.8571428571428571,0.7037037037037037,0.7777777777777777,0.73767082590612,0.7658730158730159,0.8571428571428571,0.807868601986249,28
1,GradientBoosting,0.8214285714285714,0.6759259259259259,0.736111111111111,0.6979882862235803,0.7480158730158731,0.8214285714285714,0.7772563570882899,28
1,MLP,0.8214285714285714,0.6620370370370371,0.736111111111111,0.6952826585179527,0.7420634920634921,0.8214285714285714,0.7781840008730764,28
1,ELM,0.7857142857142857,0.6634920634920635,0.7027777777777778,0.6743386243386243,0.713265306122449,0.7857142857142857,0.7395124716553287,28
1,Ensemble,0.8214285714285714,0.6759259259259259,0.736111111111111,0.6979882862235803,0.7480158730158731,0.8214285714285714,0.7772563570882899,28
2,RandomForest,0.6785714285714286,0.5132575757575758,0.5666666666666668,0.5189814814814814,0.6124188311688312,0.6785714285714286,0.622718253968254,28
2,GradientBoosting,0.7142857142857143,0.5509259259259259,0.6,0.5634920634920635,0.6617063492063492,0.7142857142857143,0.6751700680272109,28
2,MLP,0.6785714285714286,0.5578703703703703,0.5750000000000001,0.5477513227513228,0.6512896825396826,0.6785714285714286,0.6446145124716554,28
2,ELM,0.6071428571428571,0.5066137566137566,0.5083333333333333,0.4990079365079365,0.5864512471655329,0.6071428571428571,0.5869472789115646,28
2,Ensemble,0.7142857142857143,0.6273148148148148,0.6083333333333334,0.5953703703703704,0.722718253968254,0.7142857142857143,0.6943594104308389,28
3,RandomForest,0.7407407407407407,0.6587962962962962,0.625,0.6035839160839161,0.7173868312757202,0.7407407407407407,0.6975848225848226,27
3,GradientBoosting,0.7407407407407407,0.6468253968253969,0.6567460317460317,0.6416666666666667,0.697089947089947,0.7407407407407407,0.7098765432098766,27
3,MLP,0.7777777777777778,0.6736772486772487,0.6805555555555555,0.6642676767676768,0.7339212228101117,0.7777777777777778,0.7427890011223345,27
3,ELM,0.7407407407407407,0.6736772486772487,0.625,0.6142676767676768,0.7339212228101117,0.7407407407407407,0.7094556677890012,27
3,Ensemble,0.7777777777777778,0.6736772486772487,0.6805555555555555,0.6642676767676768,0.7339212228101117,0.7777777777777778,0.7427890011223345,27
4,RandomForest,0.8518518518518519,0.7305555555555555,0.7916666666666666,0.752044252044252,0.8376543209876544,0.8518518518518519,0.8344289455400565,27
4,GradientBoosting,0.7777777777777778,0.7305555555555555,0.725,0.7103775853775853,0.8376543209876544,0.7777777777777778,0.7881326492437603,27
4,MLP,0.8888888888888888,0.7583333333333333,0.8125,0.77989417989418,0.8685185185185185,0.8888888888888888,0.8738389182833628,27
4,ELM,0.8148148148148148,0.6972222222222223,0.75,0.711038961038961,0.8135802469135803,0.8148148148148148,0.8019480519480519,27
4,Ensemble,0.8518518518518519,0.7305555555555555,0.7916666666666666,0.752044252044252,0.8376543209876544,0.8518518518518519,0.8344289455400565,27
5,RandomForest,0.7777777777777778,0.6564814814814814,0.6694444444444444,0.6585823218176159,0.7633744855967078,0.7777777777777778,0.7662274786457793,27
5,GradientBoosting,0.7407407407407407,0.7833333333333333,0.6638888888888889,0.6707671957671958,0.8666666666666666,0.7407407407407407,0.7654027042915933,27
5,MLP,0.7777777777777778,0.7314814814814815,0.7055555555555556,0.6966775599128541,0.8127572016460904,0.7777777777777778,0.7749576373759379,27
5,ELM,0.7407407407407407,0.6203703703703703,0.6416666666666667,0.6151960784313726,0.7325102880658436,0.7407407407407407,0.7214596949891067,27
5,Ensemble,0.7777777777777778,0.725,0.6972222222222223,0.6916666666666668,0.8296296296296296,0.7777777777777778,0.7882716049382716,27
