fold,model,class_name,precision,recall,f1,support
1,RandomForest,Fluorita,0.8333333333333334,1.0,0.9090909090909091,5
1,RandomForest,Mixed,0.0,0.0,0.0,3
1,RandomForest,Perovskita,1.0,1.0,1.0,4
1,RandomForest,Pirocloro,0.6666666666666666,0.6666666666666666,0.6666666666666666,3
1,RandomForest,RockSalt,0.8888888888888888,1.0,0.9411764705882353,8
1,RandomForest,Spinel,0.8333333333333334,1.0,0.9090909090909091,5
1,GradientBoosting,Fluorita,0.8333333333333334,1.0,0.9090909090909091,5
1,GradientBoosting,Mixed,0.0,0.0,0.0,3
1,GradientBoosting,Perovskita,1.0,0.75,0.8571428571428571,4
1,GradientBoosting,Pirocloro,0.5,0.6666666666666666,0.5714285714285714,3
1,GradientBoosting,RockSalt,0.8888888888888888,1.0,0.9411764705882353,8
1,GradientBoosting,Spinel,0.8333333333333334,1.0,0.9090909090909091,5
1,MLP,Fluorita,1.0,1.0,1.0,5
1,MLP,Mixed,0.0,0.0,0.0,3
1,MLP,Perovskita,0.75,0.75,0.75,4
1,MLP,Pirocloro,0.5,0.6666666666666666,0.5714285714285714,3
1,MLP,RockSalt,0.8888888888888888,1.0,0.9411764705882353,8
1,MLP,Spinel,0.8333333333333334,1.0,0.9090909090909091,5
1,ELM,Fluorita,0.7142857142857143,1.0,0.8333333333333334,5
1,ELM,Mixed,0.0,0.0,0.0,3
1,ELM,Perovskita,1.0,0.75,0.8571428571428571,4
1,ELM,Pirocloro,0.6666666666666666,0.6666666666666666,0.6666666666666666,3
1,ELM,RockSalt,0.8,1.0,0.8888888888888888,8
1,ELM,Spinel,0.8,0.8,0.8,5
1,Ensemble,Fluorita,0.8333333333333334,1.0,0.9090909090909091,5
1,Ensemble,Mixed,0.0,0.0,0.0,3
1,Ensemble,Perovskita,1.0,0.75,0.8571428571428571,4
1,Ensemble,Pirocloro,0.5,0.6666666666666666,0.5714285714285714,3
1,Ensemble,RockSalt,0.8888888888888888,1.0,0.9411764705882353,8
1,Ensemble,Spinel,0.8333333333333334,1.0,0.9090909090909091,5
2,RandomForest,Fluorita,0.45454545454545453,1.0,0.625,5
2,RandomForest,Mixed,0.0,0.0,0.0,2
2,RandomForest,Perovskita,0.75,0.6,0.6666666666666666,5
2,RandomForest,Pirocloro,0.0,0.0,0.0,4
2,RandomForest,RockSalt,0.875,1.0,0.9333333333333333,7
2,RandomForest,Spinel,1.0,0.8,0.8888888888888888,5
2,GradientBoosting,Fluorita,0.5555555555555556,1.0,0.7142857142857143,5
2,GradientBoosting,Mixed,0.0,0.0,0.0,2
2,GradientBoosting,Perovskita,0.75,0.6,0.6666666666666666,5
2,GradientBoosting,Pirocloro,0.0,0.0,0.0,4
2,GradientBoosting,RockSalt,1.0,1.0,1.0,7
2,GradientBoosting,Spinel,1.0,1.0,1.0,5
2,MLP,Fluorita,0.5555555555555556,1.0,0.7142857142857143,5
2,MLP,Mixed,0.0,0.0,0.0,2
2,MLP,Perovskita,0.6666666666666666,0.4,0.5,5
2,MLP,Pirocloro,0.25,0.25,0.25,4
2,MLP,RockSalt,0.875,1.0,0.9333333333333333,7
