model,class_name,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,support_mean,support_std,support_total,precision_mean_pm_std,recall_mean_pm_std,f1_mean_pm_std
ELM,Fluorita,0.7714285714285715,0.2390457218668787,0.8400000000000001,0.21908902300206645,0.7833333333333334,0.18257418583505536,5.0,0.0,25,0.7714 ± 0.2390,0.8400 ± 0.2191,0.7833 ± 0.1826
ELM,Mixed,0.06666666666666667,0.14907119849998596,0.1,0.22360679774997896,0.08,0.17888543819998318,2.2,0.447213595499958,11,0.0667 ± 0.1491,0.1000 ± 0.2236,0.0800 ± 0.1789
ELM,Perovskita,0.7,0.2091650066335189,0.6799999999999999,0.15652475842498528,0.6803174603174603,0.16051908584694474,4.2,0.44721359549995787,21,0.7000 ± 0.2092,0.6800 ± 0.1565,0.6803 ± 0.1605
ELM,Pirocloro,0.52,0.37535168694024656,0.45,0.3890872509976251,0.4404761904761905,0.30351306628528485,3.2,0.447213595499958,16,0.5200 ± 0.3754,0.4500 ± 0.3891,0.4405 ± 0.3035
ELM,RockSalt,0.8488888888888889,0.09609665915750956,0.95,0.11180339887498948,0.8874416433239963,0.03208243912990477,7.6,0.5477225575051662,38,0.8489 ± 0.0961,0.9500 ± 0.1118,0.8874 ± 0.0321
ELM,Spinel,0.8866666666666667,0.10434983894999016,0.8533333333333333,0.14452988925785867,0.865050505050505,0.10480156985453556,5.2,0.44721359549995804,26,0.8867 ± 0.1043,0.8533 ± 0.1445,0.8651 ± 0.1048
Ensemble,Fluorita,0.8206349206349206,0.19110346448869459,0.9199999999999999,0.1788854381999832,0.8413419913419913,0.11652582878089288,5.0,0.0,25,0.8206 ± 0.1911,0.9200 ± 0.1789,0.8413 ± 0.1165
Ensemble,Mixed,0.05,0.11180339887498948,0.1,0.22360679774997896,0.06666666666666667,0.14907119849998596,2.2,0.447213595499958,11,0.0500 ± 0.1118,0.1000 ± 0.2236,0.0667 ± 0.1491
Ensemble,Perovskita,0.8300000000000001,0.17175564037317667,0.77,0.1440486029088793,0.7825396825396825,0.0900277804889311,4.2,0.44721359549995787,21,0.8300 ± 0.1718,0.7700 ± 0.1440,0.7825 ± 0.0900
Ensemble,Pirocloro,0.6166666666666666,0.2608745973749755,0.5833333333333333,0.3004626062886657,0.5828571428571429,0.24710569497645316,3.2,0.447213595499958,16,0.6167 ± 0.2609,0.5833 ± 0.3005,0.5829 ± 0.2471
