model,class_name,auc_ovr
RandomForest,Fluorita,0.9810714285714286
RandomForest,Mixed,0.562049062049062
RandomForest,Perovskita,0.950328407224959
RandomForest,Pirocloro,0.956095041322314
RandomForest,RockSalt,0.9710260499734183
RandomForest,Spinel,0.9823284823284824
GradientBoosting,Fluorita,0.9585714285714286
GradientBoosting,Mixed,0.645021645021645
GradientBoosting,Perovskita,0.8793103448275862
GradientBoosting,Pirocloro,0.8873966942148761
GradientBoosting,RockSalt,0.9489633173843699
GradientBoosting,Spinel,0.9532224532224532
MLP,Fluorita,0.9750000000000001
MLP,Mixed,0.5642135642135642
MLP,Perovskita,0.8846469622331691
MLP,Pirocloro,0.8974690082644627
MLP,RockSalt,0.9665071770334928
MLP,Spinel,0.9636174636174636
Ensemble,Fluorita,0.9789285714285715
Ensemble,Mixed,0.56998556998557
Ensemble,Perovskita,0.939655172413793
Ensemble,Pirocloro,0.9400826446280992
Ensemble,RockSalt,0.9673046251993621
Ensemble,Spinel,0.9830214830214831
