feature,folds_present,folds_fraction,occurrences,models_present
atomic_ea_minimo,5,1.000,20,"ELM,GradientBoosting,MLP,RandomForest"
atomic_ea_soma,5,1.000,20,"ELM,GradientBoosting,MLP,RandomForest"
atomic_en_allen _desvio,5,1.000,20,"ELM,GradientBoosting,MLP,RandomForest"
atomic_en_allen _soma,5,1.000,20,"ELM,GradientBoosting,MLP,RandomForest"
atomic_en_allredroch_minimo,5,1.000,20,"ELM,GradientBoosting,MLP,RandomForest"
atomic_hatm_minimo,5,1.000,20,"ELM,GradientBoosting,MLP,RandomForest"
electrical_resist_maximo,5,1.000,20,"ELM,GradientBoosting,MLP,RandomForest"
mineral_hardness_maximo,5,1.000,20,"ELM,GradientBoosting,MLP,RandomForest"
van_der_waals_rad_minimo,5,1.000,20,"ELM,GradientBoosting,MLP,RandomForest"
atomic_ea_maximo,4,0.800,16,"ELM,GradientBoosting,MLP,RandomForest"
atomic_spacegroupnum_maximo,4,0.800,16,"ELM,GradientBoosting,MLP,RandomForest"
atomic_spacegroupnum_desvio,3,0.600,12,"ELM,GradientBoosting,MLP,RandomForest"
vel_of_sound_minimo,3,0.600,12,"ELM,GradientBoosting,MLP,RandomForest"
