atomic_ea_minimo,atomic_ea_maximo,atomic_ea_soma,atomic_en_allen _soma,atomic_en_allen _desvio,atomic_en_allredroch_minimo,atomic_hatm_minimo,atomic_spacegroupnum_maximo,atomic_spacegroupnum_desvio,electrical_resist_maximo,mineral_hardness_maximo,van_der_waals_rad_minimo,vel_of_sound_minimo
15.7,141.0,439.2,5.223,1.359365507629693,1.47,249.0,229.0,78.61226932794199,12.7,8.5,150.0,317.5
33.0,141.0,415.1,3.61,1.263236853063896,1.01,175.0,229.0,66.2872536767062,115.0,5.0,150.0,0.0
0.0,141.0,418.8,6.135,1.303365867027878,0.97,159.0,229.0,77.63089304880857,144.0,6.0,150.0,317.5
41.1,141.0,430.1,3.61,1.263236853063896,1.06,152.0,225.0,65.78288345080384,131.0,5.0,150.0,317.5
0.0,141.0,316.7,4.903,1.335251588860899,1.23,131.0,225.0,72.8964257620968,144.0,6.0,150.0,317.5
0.0,141.0,435.1,4.903,1.335251588860899,1.23,131.0,225.0,73.76313442364011,7.2,5.0,150.0,317.5
29.6,141.0,468.6,3.61,1.193895279117897,1.07,207.0,194.0,59.5771558569222,131.0,2.5,150.0,317.5
41.1,141.0,382.1,3.61,1.345367566462373,1.06,152.0,225.0,71.04556440920308,86.0,5.0,150.0,317.5
7.6,141.0,316.8,3.61,1.345367566462373,1.22,249.0,229.0,74.70311610338324,43.3,6.5,150.0,317.5
10.0,141.0,321.7,3.61,1.345367566462373,1.06,152.0,225.0,71.04556440920308,74.0,5.5,150.0,317.5
10.0,141.0,321.7,3.61,1.345367566462373,1.06,152.0,225.0,71.04556440920308,74.0,5.5,150.0,317.5
10.0,141.0,398.5,5.434,1.316962925423026,1.07,249.0,229.0,67.02207982205171,64.3,6.5,150.0,0.0
41.1,141.0,430.1,3.61,1.263236853063896,1.01,175.0,229.0,66.2872536767062,131.0,5.0,150.0,0.0
41.1,141.0,382.1,3.61,1.345367566462373,1.01,175.0,229.0,70.74465036704582,131.0,5.0,150.0,0.0
7.6,141.0,357.0,5.434,1.380681192584137,1.07,207.0,194.0,64.79304660909911,94.0,6.0,150.0,317.5
41.1,141.0,430.1,3.61,1.263236853063896,1.01,175.0,229.0,66.2872536767062,94.0,5.0,150.0,0.0
41.1,141.0,430.1,3.61,1.263236853063896,1.01,175.0,229.0,66.2872536767062,131.0,5.0,150.0,0.0
0.0,141.0,439.2,6.516,1.182658680920051,1.23,131.0,229.0,64.9307323229917,144.0,8.5,150.0,317.5
0.0,141.0,477.6,6.516,1.267182073801261,1.23,131.0,225.0,70.58472980491356,7.2,5.0,150.0,317.5
0.0,141.0,282.7,4.903,1.335251588860899,1.23,131.0,229.0,74.23760652272016,40.0,6.0,150.0,317.5
0.0,141.0,396.7,3.61,1.345367566462373,1.56,249.0,229.0,77.99928774603578,144.0,8.5,150.0,317.5
0.0,141.0,396.7,3.61,1.345367566462373,1.56,249.0,229.0,77.99928774603579,144.0,8.5,150.0,317.5
0.0,141.0,450.8,4.903,1.335251588860899,1.23,146.0,229.0,76.44914794961565,10.0,5.0,150.0,317.5
